artist,track
Blue Öyster Cult,(Don't Fear) The Reaper
Led Zeppelin,No Quarter - Remaster
Jeff Beck,You Know What I Mean
Cream,White Room
Pink Floyd,Breathe (In The Air) - 2011 Remastered Version
Gábor Szabó,Gypsy Queen
Wayne Shorter,Ponta de Areia
Sun Ra,Plutonian Nights
Miles Davis,"Miles Runs the Voodoo Down (feat. Wayne Shorter, Bennie Maupin, John McLaughlin, Chick Corea, Joe Zawinul, Dave Holland & Harvey Brooks)"
Buffalo Springfield,Hot Dusty Roads
Vanilla Fudge,The Sky Cried - When I Was a Boy - 2006 Remaster
Vanilla Fudge,a) Take Me For A Little While b) RYFI (Illusions Of My Childhood-Part Three)
Vanilla Fudge,She's Not There
Curved Air,"Intro / Back Street Luv - Bilzen Jazz Festival Vlaams, Belgium - VRT, August 1971"
Yes,Mood for a Day - 2003 Remaster
Al Di Meola,Flight Over Rio
Premiata Forneria Marconi,Generale
Yes,And You and I - 2003 Remaster
Fabrizio De André,Andrea - Live in Genova 03/01/1979
Chris Squire,Lucky Seven
Premiata Forneria Marconi,È festa
Aphrodite's Child,The Four Horsemen
Billy Cobham,Red Baron
Weather Report,Black Market
Eagles,Journey of the Sorcerer - 2013 Remaster
Premiata Forneria Marconi,Appena un po'
Curved Air,Marie Antoinette
Curved Air,Vivaldi
Paul Desmond,Take Ten
Eddie Harris,Compared to What - Live
Herbie Hancock,Cantaloupe Island - Remastered 1999/Rudy Van Gelder Edition
Ornette Coleman,Ramblin'
Wes Montgomery,A Day In The Life
Lee Morgan,Totem Pole - Remastered 1999/Rudy Van Gelder Edition
Ornette Coleman,Lonely Woman
Sun Ra,Space is the Place
Sun Ra,Where Pathways Meet - Remastered
Weather Report,American Tango
Sun Ra,Angels and Demons at Play
Alice Coltrane,Journey In Satchidananda
Sun Ra,Nuclear War
Jasper van't Hofs Pili Pili,Lon Lon
Jasper van't Hofs Pili Pili,Ilé
The Doors,Peace Frog
Neil Young,Mr. Soul
Captain Beefheart & His Magic Band,Her Eyes Are a Blue Million Miles
Arlo Guthrie,Coming into Los Angeles - Remastered
T. Rex,Mambo Sun
The Mothers Of Invention,"Hungry Freaks, Daddy"
Dennis Wilson,Pacific Ocean Blues
The Byrds,Mr. Spaceman
Cream,Tales Of Brave Ulysses
George Harrison,Wah-Wah - 2014 Remaster
Jerry Garcia,The Wheel
The Velvet Underground,Rock & Roll - Full Length Version; 2015 Remaster
The Clash,Charlie Don't Surf - Remastered
Jerry Garcia Band,Cats Under The Stars
Quicksilver Messenger Service,Fresh Air - Remastered
The Flying Burrito Brothers,Lazy Days
Love,Alone Again Or - 2015 Remaster
The Beach Boys,Feel Flows - Remastered 2009
Paul McCartney,Nineteen Hundred And Eighty Five - 2010 Remaster
Syd Barrett,Gigolo Aunt
Van Morrison,Astral Weeks - 1999 Remaster
13th Floor Elevators,You're Gonna Miss Me (2008 Remastered Original Mono LP Version)
Captain Beefheart & His Magic Band,"Sure 'Nuff 'n' Yes, I Do"
Jimi Hendrix,Born Under a Bad Sign
Greta Van Fleet,When The Curtain Falls
Led Zeppelin,Ten Years Gone - Remaster
Television,Days - 2003 Remaster
Television,1880 Or So
Television,Little Johnny Jewel - Parts 1 & 2
Khaled,Oran Marseille - Oran Mix
Raïna Raï,Hamama
Rush,Tom Sawyer
Hamid El Gnawi,Foufoudanba
Djamel Laroussi,Kifach Hilti
Khaled,Didi
Rachid Taha,Joséphine
Dissidenten,Fata Morgana
Gnawa Diffusion,Ombre elle
Cheikha Rimitti,N'TA GOUDAMI
Traffic,Walking In The Wind
Simon & Garfunkel,Leaves That Are Green
Traffic,Medicated Goo
Simon & Garfunkel,Flowers Never Bend with the Rainfall
John Lennon,Nobody Loves You (When You're Down And Out) - Remastered 2010
Simon & Garfunkel,Bleecker Street
Ten Years After,Let the Sky Fall - 2004 Remaster
LCD Soundsystem,Home
The Alan Parsons Project,Mammagamma - Instrumental
Jerry Garcia,Loser
Grateful Dead,Althea - 2013 Remaster
Grateful Dead,Franklin's Tower - 2013 Remaster
Grateful Dead,"Wharf Rat - Live at Fillmore East, New York, NY, April 26, 1971"
Grateful Dead,Shakedown Street - 2013 Remaster
Grateful Dead,Touch of Grey - 2013 Remaster
Grateful Dead,Estimated Prophet - 2014 Remaster
Grateful Dead,"Bertha - Live at Fillmore East, New York, NY, April 27, 1971"
Frank Zappa,Inca Roads
Steely Dan,Any Major Dude Will Tell You
"Crosby, Stills, Nash & Young",Carry On
The Beatles,A Day In The Life - Remastered 2009
Steely Dan,Don't Take Me Alive
Bob Dylan,Subterranean Homesick Blues
"Crosby, Stills, Nash & Young",Almost Cut My Hair
Grateful Dead,Unbroken Chain - 2013 Remaster
Nick Drake,Pink Moon
Allman Brothers Band,Jessica
George Harrison,What Is Life - 2014 Remaster
Grateful Dead,Morning Dew - 2013 Remaster
Tom Waits,Jockey Full Of Bourbon
Spirit,Fresh-Garbage
Pink Floyd,Wots ... Uh The Deal - 2011 Remastered Version
Steely Dan,Only A Fool Would Say That
"Crosby, Stills, Nash & Young",Wooden Ships
Bob Dylan,Hurricane
The Rolling Stones,Sister Morphine - 2009 Mix
René Aubry,"The Desert, Pt. 2"
René Aubry,The Woman and the Tree
René Aubry,Salento
Hamid Baroudi,Desert Roots
Cheb Mami,Haoulou
Hamid Baroudi,Fatima
Ron Trent,Sphere
Jean-Luc Ponty,"Mystical Adventures (Suite), Pt. IV"
Jean-Luc Ponty,Dreamy Eyes
Jean-Luc Ponty,"Enigmatic Ocean, Pt. I"
Allman Brothers Band,Blue Sky
Little Feat,Two Trains
Traffic,Light Up Or Leave Me Alone
Little Feat,Rock and Roll Doctor
Traffic,Feelin' Alright?
The Band,Chest Fever - Remastered 2000
Fleetwood Mac,Station Man
The Kinks,Strangers - 2020 Stereo Remaster
The Band,King Harvest (Has Surely Come)
Native Egyptian Prince Ahmed Barakat,اغنية مصر ام المؤمنين
Hamid Baroudi,Caravan II Bagdad
René Aubry,Pearl & the Governess
René Aubry,In the Oceon
René Aubry,Christmas Morning
René Aubry,One Snowy Night
Jean-Luc Ponty,Demagomania
Jean-Luc Ponty,Rhythms of Hope
Grateful Dead,Eyes of the World - 2013 Remaster
Grateful Dead,Tennessee Jed - 2001 Remaster
Grateful Dead,"Estimated Prophet - Live at Barton Hall, Cornell University, Ithaca, NY 5/8/77"
Allman Brothers Band,Little Martha
Grateful Dead,"Mind Left Body Jam - Live, June 26/28, 1974"
Hamid Baroudi,El Bareh
Cheikha Rimitti,NOUAR
Cheikh Sidi Bémol,Ma kayen walou kima l'amour
Orchestre National De Barbes,Alaoui
Gaada Diwane De Béchar,Taguebarbt
Grateful Dead,"Althea - Live at Hartford Civic Center, October 14, 1983"
Tom Petty and the Heartbreakers,Mary Jane's Last Dance
Black Sabbath,The Wizard
Fleetwood Mac,The Chain - 2004 Remaster
The Who,The Seeker - Edit
Greta Van Fleet,Safari Song
Deep Purple,Space Truckin' - Remastered 2012
Blue Öyster Cult,Godzilla
Cream,Sunshine Of Your Love
Jaco Pastorius,"Come On, Come Over"
Jean-Luc Ponty,Cosmic Messenger
Ten Years After,I've Been There Too - 2004 Remaster
Tommy Bolin,Homeward Strut
Traffic,Rainmaker
John Paul Jones,Hoediddle
John Paul Jones,Bass 'n' drums
The Yardbirds,White Summer - 2003 Remaster
Wishbone Ash,Sometime World
Ten Years After,Hard Monkeys - 2004 Remaster
Genesis,The Return Of The Giant Hogweed - Digital Remastered 2008
Traveling Wilburys,Runaway
Cream,Born Under A Bad Sign
The Who,Love Ain't For Keeping
Traveling Wilburys,Tweeter And The Monkey Man
Dire Straits,Expresso Love
The Who,Love Reign O'er Me
Lenny Kravitz,Always On The Run
Jethro Tull,We Used to Know
The Who,Join Together
The Alan Parsons Project,Prime Time
Genesis,Home By The Sea - Remastered 2007
Bob Dylan,Union Sundown
New Riders of the Purple Sage,Dirty Business
Grateful Dead,Victim or the Crime - 2004 Remaster
Grateful Dead,Blow Away - 2004 Remaster
Jean-Luc Ponty,The Art of Happiness
Frank Zappa,Sofa No. 1
Frank Zappa,Eat That Question
Japan,Visions Of China - 2003 Digital Remaster
King Crimson,Neal And Jack And Me
Frank Zappa,Son Of Mr. Green Genes
CAN,I Want More
John Paul Jones,Leafy Meadows
Kaleidoscope,Keep Your Mind Open
John Paul Jones,The Thunderthief
Miles Davis,Honky Tonk
Love,The Red Telephone - 2015 Remaster
Jethro Tull,Pied Piper - 2002 Remaster
Jethro Tull,Big Dipper - 2002 Remaster
Jethro Tull,Bourée
Jethro Tull,Too Old to Rock 'n' Roll: Too Young to Die! - 2002 Remaster
John Paul Jones,Grind
Ten Years After,"50,000 Miles Beneath My Brain - 2017 Remaster"
CAN,Oh Yeah
Hamid Baroudi,Streets of Algiers
Jethro Tull,The Witch's Promise - 2001 Remaster
Grateful Dead,Fire on the Mountain - 2013 Remaster
The Beatles,Something - Remastered 2009
Traffic,Empty Pages - Remastered 2010
Grateful Dead,New Speedway Boogie - 2013 Remaster
John Paul Jones,Tidal
Jimi Hendrix,Crosstown Traffic
The Rolling Stones,We Love You - Single Version/Mono
Led Zeppelin,When the Levee Breaks - Remaster
Jethro Tull,Really Don't Mind / See There a Son Is Born - Steven Wilson Stereo Remix
Jethro Tull,Cross-Eyed Mary
The Who,Bargain
The Rolling Stones,Torn And Frayed
The Rolling Stones,Shake Your Hips
The Rolling Stones,Happy - 2009 Mix
The Rolling Stones,Rocks Off
The Rolling Stones,Casino Boogie
The Rolling Stones,"Paint It, Black"
The Mothers Of Invention,Get A Little
Rush,La Villa Strangiato
Derek & The Dominos,I Looked Away
Derek & The Dominos,Got To Get Better In A Little While - Live At Fillmore East
"Crosby, Stills & Nash",Wooden Ships - 2005 Remaster
Top Drawer,Song of a Sinner
Jean-Claude Vannier,Katmandou 8
Brian Eno,Another Green World - 2004 Remaster
Walter Murphy,A Fifth Of Beethoven
Strawberry Alarm Clock,Incense And Peppermints
The Young Rascals,You Better Run - Single Version; Mono
Mose Allison,Young Man's Blues
Jean-Luc Ponty,New Country
John Paul Jones,Shibuya Bop
The Beatles,While My Guitar Gently Weeps - Remastered 2009
The Rolling Stones,Slave - Remastered
Jethro Tull,Living in the Past - 2001 Remaster
Traffic,You Can All Join In
The Police,Roxanne
T. Rex,Get It On
The Rolling Stones,Some Girls - Remastered
The Alan Parsons Project,The Raven - 1987 Remix
Peter Bardens,One Of These Days I'll Get An Early Night
Andrew Latimer,Summer Lightning
Bill Bruford,Hell's Bells
Hatfield & The North,Going Up To People And Tinkling
Jefferson Airplane,Embryonic Journey
Fleetwood Mac,Oh Well (Pt. 1) - 2013 Remaster
Ten Years After,I'd Love to Change the World - 2004 Remaster
The Doors,The Crystal Ship
Derek & The Dominos,Layla
Jimi Hendrix,Bold as Love
Raïna Raï,Douane
Raïna Raï,Taila
Nass El Ghiwane,Allah ya moulana - Dieu ô notre Seigneur
Frank Zappa,Apostrophe'
Bill Frisell,Messin' with the Kid
Bill Frisell,Blues Dream
Jethro Tull,To Cry You a Song - 2001 Remaster
Jethro Tull,Nothing Is Easy
Jethro Tull,Mother Goose
Frank Zappa,Muffin Man
Pink Floyd,Fearless - 2011 Remastered Version
Strawberry Alarm Clock,Unwind With The Clock
Buffalo Springfield,Everydays - Live
The West Coast Pop Art Experimental Band,Shifting Sands
The Byrds,What's Happening?
The Byrds,Have You Seen Her Face
The Byrds,So You Want to Be a Rock 'N' Roll Star
Buffalo Springfield,Flying on the Ground Is Wrong
Buffalo Springfield,Pretty Girl Why
The Byrds,5D (Fifth Dimension)
Procol Harum,She Wandered Through the Garden Fence
Buffalo Springfield,Rock & Roll Woman
Buffalo Springfield,Uno Mundo
Strawberry Alarm Clock,"Soft Skies, No Lies"
Strawberry Alarm Clock,Sit With The Guru
Camel,La princesse perdue
Arti & Mestieri,Nove luna prima
Eloy,Daylight - 2000 Digital Remaster
Strawberry Alarm Clock,Barefoot In Baltimore
Iron Butterfly,Unconscious Power
Buffalo Springfield,Sit Down I Think I Love You
The West Coast Pop Art Experimental Band,If You Want This Love
Strawberry Alarm Clock,Rainy Day Mushroom Pillow
Premiata Forneria Marconi,Il banchetto
Premiata Forneria Marconi,Dove... quando... - I Parte
Premiata Forneria Marconi,Per un amico
Premiata Forneria Marconi,Grazie davvero
Premiata Forneria Marconi,Maestro della voce
Fabrizio De André,Presentazione - Live in Genova 03/01/1979
Jethro Tull,Childhood Heroes Reprise - Steven Wilson Stereo Remix
Jethro Tull,North Sea Oil - Steven Wilson Stereo Remix
Camel,Freefall
Camel,Rhayader Goes To Town
Anthony Phillips,Scottish Suite: I. Salmon Leap
Premiata Forneria Marconi,Photos Of Ghosts
Jethro Tull,Hymn 43
The Rolling Stones,Heaven - Remastered
The Rolling Stones,Can't You Hear Me Knocking - 2009 Mix
The Rolling Stones,Under My Thumb
The Rolling Stones,Play With Fire - Mono Version
The Rolling Stones,Moonlight Mile - 2009 Mix
Supersister,Corporation Combo Boys
UFO,Unidentified Flying Object - Remastered
Gerry Temple,Jam Jar
Premiata Forneria Marconi,Suonare suonare
Premiata Forneria Marconi,Transumanza - Italian version
Fabrizio De André,La canzone di Marinella - Live in Genova 03/01/1979
Jeff Beck,Cause We've Ended as Lovers
Led Zeppelin,Tangerine - Remaster
Miles Davis,Portia
The Rolling Stones,Citadel - Remastered 2017 / Stereo
Colosseum,Elegy
Colosseum,The Kettle
Chick Corea,Love Castle
Neil Young,Heart Of Gold
Ultimate Spinach,(BALLAD OF) THE HIP DEATH GODDESS
Mahavishnu Orchestra,Miles Beyond
The Beatles,Lucy In The Sky With Diamonds - Remastered 2009
The Guess Who,Hand Me Down World - Single Version
